Song,Date,Total Number of Plays for Date
Djibouti,2020-01-03,6933
Djibouti,2020-01-04,2124
Djibouti,2020-01-05,2660
Djibouti,2020-01-06,4654
Djibouti,2020-01-07,2584
Djibouti,2020-01-08,4836
Djibouti,2020-01-09,2757
Djibouti,2020-01-10,2968
Djibouti,2020-01-11,1680
Djibouti,2020-01-12,3780
Djibouti,2020-01-13,3694
Djibouti,2020-01-14,3525
Djibouti,2020-01-15,2523
Djibouti,2020-01-16,3264
Djibouti,2020-01-17,2340
Djibouti,2020-01-18,904
Djibouti,2020-01-19,3314
Djibouti,2020-01-20,5396
Djibouti,2020-01-21,2126
Djibouti,2020-01-22,3120
Djibouti,2020-01-23,3074
Djibouti,2020-01-24,2719
Djibouti,2020-01-25,3823
Djibouti,2020-01-26,4224
Djibouti,2020-01-27,2833
Djibouti,2020-01-28,2011
Djibouti,2020-01-29,1316
Djibouti,2020-01-30,2204
Djibouti,2020-01-31,2418
Dominica,2019-12-31,683
Dominica,2020-01-01,4064
Dominica,2020-01-02,4042
Dominica,2020-01-03,5666
Dominica,2020-01-04,2339
Dominica,2020-01-05,2162
Dominica,2020-01-06,2817
Dominica,2020-01-07,4975
Dominica,2020-01-08,2672
Dominica,2020-01-09,1952
Dominica,2020-01-10,5527
Dominica,2020-01-11,4810
Dominica,2020-01-12,2770
Dominica,2020-01-13,1829
Dominica,2020-01-14,2810
Dominica,2020-01-15,4297
Dominica,2020-01-16,2313
Dominica,2020-01-17,2288
Dominica,2020-01-18,5275
Dominica,2020-01-19,2924
Dominica,2020-01-20,3318
Dominica,2020-01-21,4923
Dominica,2020-01-22,2417
Dominica,2020-01-23,2543
Dominica,2020-01-24,6380
Dominica,2020-01-25,2051
Dominica,2020-01-26,3659
Dominica,2020-01-27,3999
Dominica,2020-01-28,3901
Dominica,2020-01-29,2178
Dominica,2020-01-30,2494
Dominica,2020-01-31,2998
Dominican Republic,2019-12-31,1918
Dominican Republic,2020-01-01,3477
Dominican Republic,2020-01-02,2909
Dominican Republic,2020-01-03,1872
Dominican Republic,2020-01-04,2318
Dominican Republic,2020-01-05,2868
Dominican Republic,2020-01-06,2975
Dominican Republic,2020-01-07,3414
Dominican Republic,2020-01-08,3770
Dominican Republic,2020-01-09,2254
Dominican Republic,2020-01-10,3264
Dominican Republic,2020-01-11,3004
Dominican Republic,2020-01-12,2886
Dominican Republic,2020-01-13,2757
Dominican Republic,2020-01-14,1137
Dominican Republic,2020-01-15,4186
Dominican Republic,2020-01-16,4228
Dominican Republic,2020-01-17,3632
Dominican Republic,2020-01-18,3877
Dominican Republic,2020-01-19,4636
Dominican Republic,2020-01-20,3259
Dominican Republic,2020-01-21,3066
Dominican Republic,2020-01-22,4985
Dominican Republic,2020-01-23,4635
Dominican Republic,2020-01-24,3406
Dominican Republic,2020-01-25,4067
Dominican Republic,2020-01-26,4377
Dominican Republic,2020-01-27,3935
Dominican Republic,2020-01-28,2776
Dominican Republic,2020-01-29,3511
Dominican Republic,2020-01-30,5084
Dominican Republic,2020-01-31,1714
Ecuador,2019-12-31,207
Ecuador,2020-01-01,4702
Ecuador,2020-01-02,4077
Ecuador,2020-01-03,2589
Ecuador,2020-01-04,3825
Ecuador,2020-01-05,2670
Ecuador,2020-01-06,3479
Ecuador,2020-01-07,5095
Ecuador,2020-01-08,2763
Ecuador,2020-01-09,3063
Ecuador,2020-01-10,2199
Ecuador,2020-01-11,3913
Ecuador,2020-01-12,2927
Ecuador,2020-01-13,2270
Ecuador,2020-01-14,4396
Ecuador,2020-01-15,3228
Ecuador,2020-01-16,3898
Ecuador,2020-01-17,2517
Ecuador,2020-01-18,2138
Ecuador,2020-01-19,5189
Ecuador,2020-01-20,1720
Ecuador,2020-01-21,980
Ecuador,2020-01-22,4027
Ecuador,2020-01-23,5090
Ecuador,2020-01-24,5766
Ecuador,2020-01-25,3685
Ecuador,2020-01-26,2940
Ecuador,2020-01-27,3322
Ecuador,2020-01-28,2992
Ecuador,2020-01-29,4720
Ecuador,2020-01-30,2664
Ecuador,2020-01-31,2221
Egypt,2019-12-31,1081
Egypt,2020-01-01,3469
Egypt,2020-01-02,3433
Egypt,2020-01-03,3439
Egypt,2020-01-04,3186
Egypt,2020-01-05,2525
Egypt,2020-01-06,1891
Egypt,2020-01-07,3536
Egypt,2020-01-08,5663
Egypt,2020-01-09,940
Egypt,2020-01-10,2898
Egypt,2020-01-11,2215
Egypt,2020-01-12,2751
Egypt,2020-01-13,1619
Egypt,2020-01-14,3186
Egypt,2020-01-15,3426
Egypt,2020-01-16,2049
Egypt,2020-01-17,3171
Egypt,2020-01-18,3910
Egypt,2020-01-19,2349
Egypt,2020-01-20,1771
Egypt,2020-01-21,4491
Egypt,2020-01-22,1433
Egypt,2020-01-23,4393
Egypt,2020-01-24,2883
Egypt,2020-01-25,1627
Egypt,2020-01-26,4164
Egypt,2020-01-27,3169
Egypt,2020-01-28,1693
Egypt,2020-01-29,2791
Egypt,2020-01-30,3092
Egypt,2020-01-31,795
El Salvador,2019-12-31,556
El Salvador,2020-01-01,5771
El Salvador,2020-01-02,3195
El Salvador,2020-01-03,1486
El Salvador,2020-01-04,2813
El Salvador,2020-01-05,4066
El Salvador,2020-01-06,3386
El Salvador,2020-01-07,5330
El Salvador,2020-01-08,3260
El Salvador,2020-01-09,4523
El Salvador,2020-01-10,3084
El Salvador,2020-01-11,3848
El Salvador,2020-01-12,3387
El Salvador,2020-01-13,5467
El Salvador,2020-01-14,4591
El Salvador,2020-01-15,2894
El Salvador,2020-01-16,2708
El Salvador,2020-01-17,4560
El Salvador,2020-01-18,2221
El Salvador,2020-01-19,4979
El Salvador,2020-01-20,2314
El Salvador,2020-01-21,4540
El Salvador,2020-01-22,2196
El Salvador,2020-01-23,2459
El Salvador,2020-01-24,2783
El Salvador,2020-01-25,3553
El Salvador,2020-01-26,2992
El Salvador,2020-01-27,1601
El Salvador,2020-01-28,2296
El Salvador,2020-01-29,3021
El Salvador,2020-01-30,3246
El Salvador,2020-01-31,4073
Equatorial Guinea,2019-12-31,550
Equatorial Guinea,2020-01-01,2852
Equatorial Guinea,2020-01-02,5175
Equatorial Guinea,2020-01-03,3034
Equatorial Guinea,2020-01-04,3694
Equatorial Guinea,2020-01-05,3873
Equatorial Guinea,2020-01-06,4258
Equatorial Guinea,2020-01-07,2916
Equatorial Guinea,2020-01-08,3859
Equatorial Guinea,2020-01-09,2541
Equatorial Guinea,2020-01-10,2986
Equatorial Guinea,2020-01-11,2489
Equatorial Guinea,2020-01-12,5100
Equatorial Guinea,2020-01-13,2263
Equatorial Guinea,2020-01-14,2520
Equatorial Guinea,2020-01-15,1126
Equatorial Guinea,2020-01-16,3458
Equatorial Guinea,2020-01-17,2839
Equatorial Guinea,2020-01-18,4616
Equatorial Guinea,2020-01-19,2154
Equatorial Guinea,2020-01-20,4727
Equatorial Guinea,2020-01-21,3131
Equatorial Guinea,2020-01-22,3220
Equatorial Guinea,2020-01-23,1849
Equatorial Guinea,2020-01-24,2638
Equatorial Guinea,2020-01-25,3056
Equatorial Guinea,2020-01-26,3482
Equatorial Guinea,2020-01-27,3121
Equatorial Guinea,2020-01-28,2858
Equatorial Guinea,2020-01-29,4232
Equatorial Guinea,2020-01-30,2102
Equatorial Guinea,2020-01-31,3763
Eritrea,2019-12-31,167
Eritrea,2020-01-01,1776
Eritrea,2020-01-02,1984
Eritrea,2020-01-03,3601
Eritrea,2020-01-04,1755
Eritrea,2020-01-05,2921
Eritrea,2020-01-06,2847
Eritrea,2020-01-07,4558
Eritrea,2020-01-08,4591
Eritrea,2020-01-09,1722
Eritrea,2020-01-10,3765
Eritrea,2020-01-11,3152
Eritrea,2020-01-12,1448
Eritrea,2020-01-13,2887
Eritrea,2020-01-14,3633
Eritrea,2020-01-15,2149
Eritrea,2020-01-16,4478
Eritrea,2020-01-17,4761
Eritrea,2020-01-18,2727
Eritrea,2020-01-19,1975
Eritrea,2020-01-20,3748
Eritrea,2020-01-21,3484
Eritrea,2020-01-22,2967
Eritrea,2020-01-23,4330
Eritrea,2020-01-24,4430
Eritrea,2020-01-25,1435
Eritrea,2020-01-26,1820
Eritrea,2020-01-27,2818
Eritrea,2020-01-28,4365
Eritrea,2020-01-29,1546
Eritrea,2020-01-30,3312
Eritrea,2020-01-31,5869
Estonia,2019-12-31,714
Estonia,2020-01-01,1907
Estonia,2020-01-02,3036
Estonia,2020-01-03,4744
Estonia,2020-01-04,2802
Estonia,2020-01-05,1002
Estonia,2020-01-06,4098
Estonia,2020-01-07,3339
Estonia,2020-01-08,4566
Estonia,2020-01-09,2839
Estonia,2020-01-10,2280
Estonia,2020-01-11,3025
Estonia,2020-01-12,5442
Estonia,2020-01-13,3540
Estonia,2020-01-14,3135
Estonia,2020-01-15,2156
Estonia,2020-01-16,4277
Estonia,2020-01-17,3347
Estonia,2020-01-18,2824
Estonia,2020-01-19,1943
Estonia,2020-01-20,3724
Estonia,2020-01-21,2607
Estonia,2020-01-22,5062
Estonia,2020-01-23,2457
Estonia,2020-01-24,3464
Estonia,2020-01-25,3601
Estonia,2020-01-26,2993
Estonia,2020-01-27,2550
Estonia,2020-01-28,2930
Estonia,2020-01-29,4193
Estonia,2020-01-30,2140
Estonia,2020-01-31,3195
Ethiopia,2019-12-31,1741
Ethiopia,2020-01-01,3432
Ethiopia,2020-01-02,6095
Ethiopia,2020-01-03,5310
Ethiopia,2020-01-04,2379
Ethiopia,2020-01-05,3683
Ethiopia,2020-01-06,3571
Ethiopia,2020-01-07,2977
Ethiopia,2020-01-08,2826
Ethiopia,2020-01-09,1775
Ethiopia,2020-01-10,3216
Ethiopia,2020-01-11,3422
Ethiopia,2020-01-12,2467
Ethiopia,2020-01-13,2942
Ethiopia,2020-01-14,3849
Ethiopia,2020-01-15,1834
Ethiopia,2020-01-16,1759
Ethiopia,2020-01-17,2900
Ethiopia,2020-01-18,3401
Ethiopia,2020-01-19,2784
Ethiopia,2020-01-20,3229
Ethiopia,2020-01-21,5316
Ethiopia,2020-01-22,2812
Ethiopia,2020-01-23,1583
Ethiopia,2020-01-24,2512
Ethiopia,2020-01-25,2766
Ethiopia,2020-01-26,6741
Ethiopia,2020-01-27,4783
Ethiopia,2020-01-28,3252
Ethiopia,2020-01-29,3003
Ethiopia,2020-01-30,5414
Ethiopia,2020-01-31,2013
Falkland Islands (Malvinas),2020-01-01,3901
Falkland Islands (Malvinas),2020-01-02,1247
Falkland Islands (Malvinas),2020-01-03,2403
Falkland Islands (Malvinas),2020-01-04,2560
Falkland Islands (Malvinas),2020-01-05,3961
Falkland Islands (Malvinas),2020-01-06,3691
Falkland Islands (Malvinas),2020-01-07,4192
Falkland Islands (Malvinas),2020-01-08,2873
Falkland Islands (Malvinas),2020-01-09,3512
Falkland Islands (Malvinas),2020-01-10,4354
Falkland Islands (Malvinas),2020-01-11,5987
Falkland Islands (Malvinas),2020-01-12,3919
Falkland Islands (Malvinas),2020-01-13,2499
Falkland Islands (Malvinas),2020-01-14,2361
Falkland Islands (Malvinas),2020-01-15,4615
Falkland Islands (Malvinas),2020-01-16,4440
Falkland Islands (Malvinas),2020-01-17,2047
Falkland Islands (Malvinas),2020-01-18,4211
Falkland Islands (Malvinas),2020-01-19,1726
Falkland Islands (Malvinas),2020-01-20,1865
Falkland Islands (Malvinas),2020-01-21,3394
Falkland Islands (Malvinas),2020-01-22,3381
Falkland Islands (Malvinas),2020-01-23,3949
Falkland Islands (Malvinas),2020-01-24,4089
Falkland Islands (Malvinas),2020-01-25,3118
Falkland Islands (Malvinas),2020-01-26,2552
Falkland Islands (Malvinas),2020-01-27,2012
Falkland Islands (Malvinas),2020-01-28,3492
Falkland Islands (Malvinas),2020-01-29,3698
Falkland Islands (Malvinas),2020-01-30,6911
Falkland Islands (Malvinas),2020-01-31,2627
Faroe Islands,2019-12-31,969
Faroe Islands,2020-01-01,3588
Faroe Islands,2020-01-02,3156
Faroe Islands,2020-01-03,3455
Faroe Islands,2020-01-04,4661
Faroe Islands,2020-01-05,3952
Faroe Islands,2020-01-06,4075
Faroe Islands,2020-01-07,2922
Faroe Islands,2020-01-08,4997
Faroe Islands,2020-01-09,4062
Faroe Islands,2020-01-10,4204
Faroe Islands,2020-01-11,2948
Faroe Islands,2020-01-12,3600
Faroe Islands,2020-01-13,3830
Faroe Islands,2020-01-14,3445
Faroe Islands,2020-01-15,2980
Faroe Islands,2020-01-16,1117
Faroe Islands,2020-01-17,2524
Faroe Islands,2020-01-18,3744
Faroe Islands,2020-01-19,2485
Faroe Islands,2020-01-20,3771
Faroe Islands,2020-01-21,3856
Faroe Islands,2020-01-22,2664
Faroe Islands,2020-01-23,2898
Faroe Islands,2020-01-24,3305
Faroe Islands,2020-01-25,3484
Faroe Islands,2020-01-26,3132
Faroe Islands,2020-01-27,2905
Faroe Islands,2020-01-28,5050
Faroe Islands,2020-01-29,2049
Faroe Islands,2020-01-30,2860
Faroe Islands,2020-01-31,1973
Fiji,2019-12-31,683
Fiji,2020-01-01,2532
Fiji,2020-01-02,3932
Fiji,2020-01-03,2113
Fiji,2020-01-04,6079
Fiji,2020-01-05,3014
Fiji,2020-01-06,3335
Fiji,2020-01-07,1599
Fiji,2020-01-08,3127
Fiji,2020-01-09,5805
Fiji,2020-01-10,3603
Fiji,2020-01-11,4201
Fiji,2020-01-12,3175
Fiji,2020-01-13,3835
Fiji,2020-01-14,3566
Fiji,2020-01-15,2918
Fiji,2020-01-16,6423
Fiji,2020-01-17,4095
Fiji,2020-01-18,3353
Fiji,2020-01-19,5034
Fiji,2020-01-20,3505
Fiji,2020-01-21,3961
Fiji,2020-01-22,2507
Fiji,2020-01-23,3914
Fiji,2020-01-24,2030
Fiji,2020-01-25,4385
Fiji,2020-01-26,3055
Fiji,2020-01-27,3686
Fiji,2020-01-28,3425
Fiji,2020-01-29,3373
Fiji,2020-01-30,4243
Fiji,2020-01-31,1573
Finland,2019-12-31,1385
Finland,2020-01-01,3088
Finland,2020-01-02,5212
Finland,2020-01-03,3986
Finland,2020-01-04,5231
Finland,2020-01-05,3510
Finland,2020-01-06,2867
Finland,2020-01-07,2956
Finland,2020-01-08,2859
Finland,2020-01-09,3599
Finland,2020-01-10,2934
Finland,2020-01-11,3648
Finland,2020-01-12,2858
Finland,2020-01-13,3768
Finland,2020-01-14,3671
Finland,2020-01-15,3874
Finland,2020-01-16,3482
Finland,2020-01-17,3806
Finland,2020-01-18,3589
Finland,2020-01-19,3440
Finland,2020-01-20,3538
Finland,2020-01-21,2283
Finland,2020-01-22,1980
Finland,2020-01-23,1914
Finland,2020-01-24,3453
Finland,2020-01-25,2245
Finland,2020-01-26,2776
Finland,2020-01-27,3407
Finland,2020-01-28,3325
Finland,2020-01-29,1352
Finland,2020-01-30,2409
Finland,2020-01-31,5009
France,2019-12-31,938
France,2020-01-01,2279
France,2020-01-02,2875
France,2020-01-03,3857
France,2020-01-04,3175
France,2020-01-05,1721
France,2020-01-06,3019
France,2020-01-07,3776
France,2020-01-08,3921
France,2020-01-09,3294
France,2020-01-10,3794
France,2020-01-11,2973
France,2020-01-12,2214
France,2020-01-13,3627
France,2020-01-14,4361
France,2020-01-15,615
France,2020-01-16,2013
France,2020-01-17,3553
France,2020-01-18,2993
France,2020-01-19,4726
France,2020-01-20,2950
France,2020-01-21,2904
France,2020-01-22,4945
France,2020-01-23,2986
France,2020-01-24,1593
France,2020-01-25,3232
France,2020-01-26,3171
France,2020-01-27,3826
France,2020-01-28,4166
France,2020-01-29,2391
France,2020-01-30,3765
France,2020-01-31,1794
French Guiana,2019-12-31,1025
French Guiana,2020-01-01,3923
French Guiana,2020-01-02,4293
French Guiana,2020-01-03,4050
French Guiana,2020-01-04,4095
French Guiana,2020-01-05,2894
French Guiana,2020-01-06,3166
French Guiana,2020-01-07,4193
French Guiana,2020-01-08,2992
French Guiana,2020-01-09,5005
French Guiana,2020-01-10,3522
French Guiana,2020-01-11,6532
French Guiana,2020-01-12,2958
French Guiana,2020-01-13,4992
French Guiana,2020-01-14,1426
French Guiana,2020-01-15,4316
French Guiana,2020-01-16,3668
French Guiana,2020-01-17,3258
French Guiana,2020-01-18,4555
French Guiana,2020-01-19,3113
French Guiana,2020-01-20,2687
French Guiana,2020-01-21,2237
French Guiana,2020-01-22,3665
French Guiana,2020-01-23,2943
French Guiana,2020-01-24,3131
French Guiana,2020-01-25,2858
French Guiana,2020-01-26,3692
French Guiana,2020-01-27,3824
French Guiana,2020-01-28,5463
French Guiana,2020-01-29,2910
French Guiana,2020-01-30,4740
French Guiana,2020-01-31,2431
French Polynesia,2019-12-31,563
French Polynesia,2020-01-01,4171
French Polynesia,2020-01-02,4194
French Polynesia,2020-01-03,3273
French Polynesia,2020-01-04,4892
French Polynesia,2020-01-05,3382
French Polynesia,2020-01-06,2614
French Polynesia,2020-01-07,3230
French Polynesia,2020-01-08,2506
French Polynesia,2020-01-09,5231
French Polynesia,2020-01-10,2042
French Polynesia,2020-01-11,3140
French Polynesia,2020-01-12,3295
French Polynesia,2020-01-13,2410
French Polynesia,2020-01-14,3268
French Polynesia,2020-01-15,2356
French Polynesia,2020-01-16,3253
French Polynesia,2020-01-17,2699
French Polynesia,2020-01-18,3643
French Polynesia,2020-01-19,5996
French Polynesia,2020-01-20,3105
French Polynesia,2020-01-21,3536
French Polynesia,2020-01-22,4140
French Polynesia,2020-01-23,2644
French Polynesia,2020-01-24,2978
French Polynesia,2020-01-25,3307
French Polynesia,2020-01-26,2801
French Polynesia,2020-01-27,5119
French Polynesia,2020-01-28,912
French Polynesia,2020-01-29,2959
French Polynesia,2020-01-30,4298
French Polynesia,2020-01-31,3389
French Southern Territories,2019-12-31,1623
French Southern Territories,2020-01-01,3679
French Southern Territories,2020-01-02,5201
French Southern Territories,2020-01-03,4598
French Southern Territories,2020-01-04,5733
French Southern Territories,2020-01-05,3318
French Southern Territories,2020-01-06,2349
French Southern Territories,2020-01-07,1917
French Southern Territories,2020-01-08,2494
French Southern Territories,2020-01-09,3539
French Southern Territories,2020-01-10,3314
French Southern Territories,2020-01-11,2418
French Southern Territories,2020-01-12,4455
French Southern Territories,2020-01-13,2679
French Southern Territories,2020-01-14,3910
French Southern Territories,2020-01-15,5031
French Southern Territories,2020-01-16,1739
French Southern Territories,2020-01-17,2866
French Southern Territories,2020-01-18,879
French Southern Territories,2020-01-19,3308
French Southern Territories,2020-01-20,3983
French Southern Territories,2020-01-21,3950
French Southern Territories,2020-01-22,3789
French Southern Territories,2020-01-23,2721
French Southern Territories,2020-01-24,3711
French Southern Territories,2020-01-25,2589
French Southern Territories,2020-01-26,4052
French Southern Territories,2020-01-27,2406
French Southern Territories,2020-01-28,1098
French Southern Territories,2020-01-29,4189
French Southern Territories,2020-01-30,2425
French Southern Territories,2020-01-31,1742
Gabon,2019-12-31,804
Gabon,2020-01-01,2629
Gabon,2020-01-02,2622
Gabon,2020-01-03,2062
Gabon,2020-01-04,4403
Gabon,2020-01-05,6179
Gabon,2020-01-06,3766
Gabon,2020-01-07,3009
Gabon,2020-01-08,2905
Gabon,2020-01-09,3620
Gabon,2020-01-10,3144
Gabon,2020-01-11,3205
Gabon,2020-01-12,4406
Gabon,2020-01-13,1948
Gabon,2020-01-14,4970
Gabon,2020-01-15,2590
Gabon,2020-01-16,3402
Gabon,2020-01-17,2751
Gabon,2020-01-18,3561
Gabon,2020-01-19,3767
Gabon,2020-01-20,2693
Gabon,2020-01-21,3398
Gabon,2020-01-22,2271
Gabon,2020-01-23,3149
Gabon,2020-01-24,2335
Gabon,2020-01-25,3447
Gabon,2020-01-26,3180
Gabon,2020-01-27,5751
Gabon,2020-01-28,2457
Gabon,2020-01-29,4463
Gabon,2020-01-30,2958
Gabon,2020-01-31,2339
Gambia,2019-12-31,1289
Gambia,2020-01-01,6173
Gambia,2020-01-02,6669
Gambia,2020-01-03,2612
Gambia,2020-01-04,3724
Gambia,2020-01-05,2698
Gambia,2020-01-06,2741
Gambia,2020-01-07,2550
Gambia,2020-01-08,2902
Gambia,2020-01-09,3328
Gambia,2020-01-10,4174
Gambia,2020-01-11,2820
Gambia,2020-01-12,2985
Gambia,2020-01-13,4216
Gambia,2020-01-14,3414
Gambia,2020-01-15,4108
Gambia,2020-01-16,3870
Gambia,2020-01-17,4758
Gambia,2020-01-18,3647
Gambia,2020-01-19,4261
Gambia,2020-01-20,3475
Gambia,2020-01-21,3907
Gambia,2020-01-22,2035
Gambia,2020-01-23,3009
Gambia,2020-01-24,3053
Gambia,2020-01-25,3426
Gambia,2020-01-26,2912
Gambia,2020-01-27,4949
Gambia,2020-01-28,3523
Gambia,2020-01-29,3796
Gambia,2020-01-30,5532
Gambia,2020-01-31,705
Georgia,2019-12-31,674
Georgia,2020-01-01,1541
Georgia,2020-01-02,2435
Georgia,2020-01-03,4327
Georgia,2020-01-04,5428
Georgia,2020-01-05,3965
Georgia,2020-01-06,4619
Georgia,2020-01-07,3857
Georgia,2020-01-08,5379
Georgia,2020-01-09,4240
Georgia,2020-01-10,5145
Georgia,2020-01-11,2161
Georgia,2020-01-12,3385
Georgia,2020-01-13,1807
Georgia,2020-01-14,2396
Georgia,2020-01-15,2110
Georgia,2020-01-16,3258
Georgia,2020-01-17,3596
Georgia,2020-01-18,4307
Georgia,2020-01-19,5044
Georgia,2020-01-20,4484
Georgia,2020-01-21,2890
Georgia,2020-01-22,4660
Georgia,2020-01-23,5951
Georgia,2020-01-24,3113
Georgia,2020-01-25,3473
Georgia,2020-01-26,5751
Georgia,2020-01-27,4963
Georgia,2020-01-28,1988
Georgia,2020-01-29,3991
Georgia,2020-01-30,2718
Georgia,2020-01-31,3568
Germany,2019-12-31,521
Germany,2020-01-01,2712
Germany,2020-01-02,3955
Germany,2020-01-03,3924
Germany,2020-01-04,2594
Germany,2020-01-05,3649
Germany,2020-01-06,4806
Germany,2020-01-07,3056
Germany,2020-01-08,3639
Germany,2020-01-09,4100
Germany,2020-01-10,1829
Germany,2020-01-11,2769
Germany,2020-01-12,2353
Germany,2020-01-13,3893
Germany,2020-01-14,4074
Germany,2020-01-15,4287
Germany,2020-01-16,2260
Germany,2020-01-17,3002
Germany,2020-01-18,3366
Germany,2020-01-19,1582
Germany,2020-01-20,4499
Germany,2020-01-21,1767
Germany,2020-01-22,2345
Germany,2020-01-23,2884
Germany,2020-01-24,2850
Germany,2020-01-25,5085
Germany,2020-01-26,2769
Germany,2020-01-27,2161
Germany,2020-01-28,3729
Germany,2020-01-29,4830
Germany,2020-01-30,3717
Germany,2020-01-31,3113
Ghana,2019-12-31,1497
Ghana,2020-01-01,3548
Ghana,2020-01-02,2465
Ghana,2020-01-03,3357
Ghana,2020-01-04,2429
Ghana,2020-01-05,5748
Ghana,2020-01-06,5410
Ghana,2020-01-07,2915
Ghana,2020-01-08,2856
Ghana,2020-01-09,3027
Ghana,2020-01-10,2019
Ghana,2020-01-11,3461
Ghana,2020-01-12,2803
Ghana,2020-01-13,3948
Ghana,2020-01-14,2386
Ghana,2020-01-15,4265
Ghana,2020-01-16,2037
Ghana,2020-01-17,3801
Ghana,2020-01-18,3682
Ghana,2020-01-19,2843
Ghana,2020-01-20,2920
Ghana,2020-01-21,5368
Ghana,2020-01-22,5046
Ghana,2020-01-23,3727
Ghana,2020-01-24,4844
Ghana,2020-01-25,3090
Ghana,2020-01-26,4628
Ghana,2020-01-27,2949
Ghana,2020-01-28,3178
Ghana,2020-01-29,5551
Ghana,2020-01-30,1825
Ghana,2020-01-31,1972
Gibraltar,2019-12-31,391
Gibraltar,2020-01-01,4233
Gibraltar,2020-01-02,4122
Gibraltar,2020-01-03,4051
Gibraltar,2020-01-04,2535
Gibraltar,2020-01-05,4100
Gibraltar,2020-01-06,4764
Gibraltar,2020-01-07,4023
Gibraltar,2020-01-08,2810
Gibraltar,2020-01-09,2917
Gibraltar,2020-01-10,6228
Gibraltar,2020-01-11,3714
Gibraltar,2020-01-12,3146
Gibraltar,2020-01-13,2185
Gibraltar,2020-01-14,2275
Gibraltar,2020-01-15,2091
Gibraltar,2020-01-16,1579
Gibraltar,2020-01-17,2691
Gibraltar,2020-01-18,3490
Gibraltar,2020-01-19,1347
Gibraltar,2020-01-20,2389
Gibraltar,2020-01-21,3396
Gibraltar,2020-01-22,4160
Gibraltar,2020-01-23,3173
Gibraltar,2020-01-24,3233
Gibraltar,2020-01-25,2987
Gibraltar,2020-01-26,4325
Gibraltar,2020-01-27,1938
Gibraltar,2020-01-28,2306
Gibraltar,2020-01-29,5537
Gibraltar,2020-01-30,3218
Gibraltar,2020-01-31,2296
Greece,2019-12-31,444
Greece,2020-01-01,2566
Greece,2020-01-02,3946
Greece,2020-01-03,3376
Greece,2020-01-04,2599
Greece,2020-01-05,4786
Greece,2020-01-06,4387
Greece,2020-01-07,2522
Greece,2020-01-08,4684
Greece,2020-01-09,3458
Greece,2020-01-10,4525
Greece,2020-01-11,2433
Greece,2020-01-12,2420
Greece,2020-01-13,675
Greece,2020-01-14,1779
Greece,2020-01-15,3030
Greece,2020-01-16,4965
Greece,2020-01-17,2384
Greece,2020-01-18,2636
Greece,2020-01-19,3746
Greece,2020-01-20,3196
Greece,2020-01-21,2542
Greece,2020-01-22,3027
Greece,2020-01-23,4609
Greece,2020-01-24,3402
Greece,2020-01-25,4539
Greece,2020-01-26,3559
Greece,2020-01-27,4166
Greece,2020-01-28,3614
Greece,2020-01-29,2903
Greece,2020-01-30,2495
Greece,2020-01-31,5191
Greenland,2019-12-31,468
Greenland,2020-01-01,4096
Greenland,2020-01-02,3284
Greenland,2020-01-03,2992
Greenland,2020-01-04,1925
Greenland,2020-01-05,4556
Greenland,2020-01-06,2643
Greenland,2020-01-07,2351
Greenland,2020-01-08,5227
Greenland,2020-01-09,2264
Greenland,2020-01-10,3031
Greenland,2020-01-11,4602
Greenland,2020-01-12,3532
Greenland,2020-01-13,2579
Greenland,2020-01-14,2964
Greenland,2020-01-15,5882
Greenland,2020-01-16,1467
Greenland,2020-01-17,4324
Greenland,2020-01-18,1837
Greenland,2020-01-19,4820
Greenland,2020-01-20,5338
Greenland,2020-01-21,4326
Greenland,2020-01-22,2292
Greenland,2020-01-23,4990
Greenland,2020-01-24,3345
Greenland,2020-01-25,2974
Greenland,2020-01-26,2900
Greenland,2020-01-27,3631
Greenland,2020-01-28,3415
Greenland,2020-01-29,3669
Greenland,2020-01-30,3736
Greenland,2020-01-31,2938
Grenada,2019-12-31,772
Grenada,2020-01-01,4279
Grenada,2020-01-02,2309
Grenada,2020-01-03,2791
Grenada,2020-01-04,3260
Grenada,2020-01-05,1889
Grenada,2020-01-06,3137
Grenada,2020-01-07,5284
Grenada,2020-01-08,3776
Grenada,2020-01-09,1503
Grenada,2020-01-10,1401
Grenada,2020-01-11,4917
Grenada,2020-01-12,2364
Grenada,2020-01-13,2436
Grenada,2020-01-14,2171
Grenada,2020-01-15,3776
Grenada,2020-01-16,2301
Grenada,2020-01-17,3201
Grenada,2020-01-18,2564
Grenada,2020-01-19,1797
Grenada,2020-01-20,2380
Grenada,2020-01-21,3004
Grenada,2020-01-22,3793
Grenada,2020-01-23,3798
Grenada,2020-01-24,2641
Grenada,2020-01-25,2755
Grenada,2020-01-26,3980
Grenada,2020-01-27,2429
Grenada,2020-01-28,4261
Grenada,2020-01-29,3509
Grenada,2020-01-30,5524
Grenada,2020-01-31,1593
Guadeloupe,2019-12-31,365
Guadeloupe,2020-01-01,4275
Guadeloupe,2020-01-02,3351
Guadeloupe,2020-01-03,2637
Guadeloupe,2020-01-04,5030
Guadeloupe,2020-01-05,3482
Guadeloupe,2020-01-06,3693
Guadeloupe,2020-01-07,4236
Guadeloupe,2020-01-08,4069
Guadeloupe,2020-01-09,4002
Guadeloupe,2020-01-10,2362
Guadeloupe,2020-01-11,2290
