Song,Date,Number of Plays
Ethiopia,2020-01-15,486
Albania,2020-01-07,232
Vanuatu,2020-01-03,364
Egypt,2020-01-07,73
United Kingdom,2020-01-18,43
Botswana,2020-01-07,215
Botswana,2020-01-11,105
Tokelau,2020-01-20,336
United Arab Emirates,2020-01-17,390
Samoa,2020-01-26,2
Kuwait,2020-01-15,267
Haiti,2020-01-12,286
United Arab Emirates,2020-01-12,223
Bangladesh,2020-01-08,243
Turks and Caicos Islands,2020-01-02,425
Christmas Island,2020-01-13,203
Togo,2020-01-01,375
Turkmenistan,2020-01-31,195
Mauritius,2020-01-02,316
Ireland,2020-01-28,314
Saudi Arabia,2020-01-02,186
United Arab Emirates,2020-01-12,182
Oman,2020-01-15,131
Norway,2020-01-18,36
Portugal,2020-01-30,157
Cape Verde,2020-01-16,279
Belgium,2020-01-05,292
New Zealand,2020-01-07,235
Lesotho,2020-01-20,5
Chad,2020-01-13,371
Viet Nam,2020-01-04,246
Saint Kitts and Nevis,2020-01-16,114
"Lao People""S Democratic Republic",2020-01-13,328
"Virgin Islands, British",2020-01-31,190
Bouvet Island,2020-01-26,95
Bahamas,2020-01-25,244
Turks and Caicos Islands,2020-01-09,190
"Iran, Islamic Republic Of",2020-01-01,208
United Kingdom,2020-01-11,399
Cameroon,2020-01-19,122
Panama,2020-01-13,370
Bahrain,2020-01-28,482
Chad,2020-01-04,379
Venezuela,2020-01-26,2
Belgium,2020-01-01,132
Armenia,2020-01-15,193
Western Sahara,2020-01-06,261
Djibouti,2020-01-04,419
Georgia,2020-01-23,88
Bangladesh,2020-01-21,431
French Guiana,2020-01-28,142
Ecuador,2020-01-03,425
Bolivia,2020-01-15,106
French Southern Territories,2020-01-08,7
Hong Kong,2019-12-31,288
Grenada,2020-01-17,149
Zimbabwe,2020-01-18,166
Oman,2020-01-28,45
Bahrain,2020-01-21,483
Venezuela,2020-01-05,34
Nicaragua,2020-01-17,77
Thailand,2020-01-18,34
Kenya,2020-01-16,308
Gabon,2020-01-24,254
"Congo, The Democratic Republic of the",2020-01-10,482
New Zealand,2020-01-15,480
Myanmar,2020-01-03,459
Italy,2020-01-01,310
Mongolia,2020-01-15,243
Libyan Arab Jamahiriya,2020-01-11,436
Uruguay,2020-01-13,151
Malawi,2020-01-18,119
Puerto Rico,2020-01-25,60
Saint Kitts and Nevis,2020-01-23,484
French Guiana,2020-01-04,228
Lithuania,2020-01-16,246
Senegal,2020-01-05,62
Myanmar,2020-01-02,32
Puerto Rico,2020-01-14,239
Philippines,2020-01-27,118
Holy See (Vatican City State),2020-01-03,72
New Zealand,2020-01-27,344
Myanmar,2020-01-22,486
Bermuda,2020-01-08,327
Guinea-Bissau,2020-01-21,167
Nepal,2020-01-22,217
Angola,2020-01-24,417
Guyana,2020-01-15,330
Norway,2020-01-19,425
India,2020-01-06,299
"Tanzania, United Republic of",2020-01-04,472
Austria,2020-01-24,405
Philippines,2020-01-17,220
"Korea, Republic of",2020-01-13,163
Tajikistan,2020-01-28,182
Saudi Arabia,2020-01-15,15
Greece,2020-01-26,158
Slovakia,2020-01-03,225
Norway,2020-01-31,39
Turkmenistan,2020-01-21,405
"Macedonia, The Former Yugoslav Republic of",2020-01-22,204
Cocos (Keeling) Islands,2020-01-14,419
Viet Nam,2020-01-04,172
Guinea,2020-01-14,472
Norway,2020-01-26,33
Qatar,2020-01-02,479
Isle of Man,2020-01-16,275
Equatorial Guinea,2020-01-10,299
Australia,2020-01-06,344
Bahrain,2020-01-11,341
United States,2020-01-04,479
Antigua and Barbuda,2020-01-11,248
RWANDA,2020-01-24,286
Armenia,2020-01-19,275
Montserrat,2020-01-31,192
Myanmar,2020-01-21,436
Namibia,2020-01-15,378
Ireland,2020-01-11,123
Mozambique,2020-01-02,103
Morocco,2020-01-10,339
Viet Nam,2020-01-14,480
Afghanistan,2020-01-03,2
Pakistan,2020-01-09,136
Pakistan,2020-01-31,10
Eritrea,2020-01-28,371
Bolivia,2019-12-31,439
Bolivia,2020-01-26,461
Guadeloupe,2020-01-09,311
Ukraine,2020-01-30,281
Yemen,2020-01-12,262
Poland,2020-01-08,471
Uruguay,2020-01-04,311
Cameroon,2020-01-08,279
"Lao People""S Democratic Republic",2020-01-27,246
Ireland,2020-01-17,397
Equatorial Guinea,2020-01-21,350
Malaysia,2020-01-13,342
Bahamas,2020-01-22,249
Cook Islands,2020-01-01,461
Guatemala,2020-01-22,363
Equatorial Guinea,2020-01-01,49
Isle of Man,2020-01-21,189
Niger,2020-01-11,480
Cyprus,2020-01-19,471
Croatia,2020-01-06,28
Bahamas,2020-01-05,398
Niger,2020-01-19,129
Ukraine,2020-01-06,394
Svalbard and Jan Mayen,2020-01-02,42
Guadeloupe,2020-01-09,324
Cocos (Keeling) Islands,2020-01-28,412
Mauritius,2020-01-04,461
Gambia,2020-01-09,90
Malawi,2020-01-31,440
Djibouti,2020-01-27,228
Mayotte,2020-01-03,189
Trinidad and Tobago,2020-01-26,475
Poland,2020-01-30,425
Cook Islands,2020-01-06,84
Bahamas,2020-01-16,198
Morocco,2020-01-21,135
RWANDA,2020-01-30,121
Djibouti,2020-01-13,91
Singapore,2020-01-25,221
Colombia,2020-01-24,41
Burkina Faso,2020-01-08,171
Bhutan,2020-01-02,394
Timor-Leste,2020-01-07,374
Denmark,2020-01-15,365
Bermuda,2020-01-16,463
Cook Islands,2020-01-11,328
Egypt,2020-01-12,366
Equatorial Guinea,2019-12-31,91
Samoa,2020-01-11,265
"Virgin Islands, British",2020-01-28,402
"Korea, Republic of",2020-01-26,431
Paraguay,2020-01-09,284
Ireland,2020-01-27,420
Croatia,2020-01-23,187
Portugal,2020-01-18,108
Ecuador,2020-01-11,334
Fiji,2020-01-28,131
Saint Pierre and Miquelon,2020-01-02,60
Samoa,2020-01-07,207
United Arab Emirates,2020-01-27,81
Haiti,2020-01-17,79
Grenada,2020-01-07,79
Tunisia,2020-01-22,192
Western Sahara,2020-01-27,376
"Korea, Democratic People""S Republic of",2020-01-11,311
Portugal,2020-01-29,264
Chile,2020-01-01,6
Germany,2020-01-09,76
Nicaragua,2020-01-10,315
Suriname,2020-01-01,223
Algeria,2020-01-13,363
France,2020-01-13,138
Hong Kong,2020-01-05,199
San Marino,2020-01-14,318
Libyan Arab Jamahiriya,2020-01-10,395
Yemen,2020-01-26,172
French Polynesia,2020-01-22,466
Pitcairn,2020-01-20,187
Belarus,2020-01-28,329
Indonesia,2020-01-08,213
Turkey,2020-01-14,492
Armenia,2020-01-14,106
Cocos (Keeling) Islands,2020-01-02,296
Lebanon,2020-01-08,58
"Iran, Islamic Republic Of",2020-01-15,140
Antarctica,2020-01-02,59
Togo,2020-01-07,33
Mauritius,2020-01-18,458
American Samoa,2020-01-18,185
Eritrea,2020-01-31,145
Austria,2020-01-04,454
Seychelles,2020-01-20,104
Canada,2020-01-31,8
Faroe Islands,2020-01-18,197
Cuba,2020-01-27,222
Benin,2020-01-24,498
United States Minor Outlying Islands,2020-01-18,354
"Micronesia, Federated States of",2020-01-13,217
Solomon Islands,2020-01-03,190
Saint Vincent and the Grenadines,2020-01-28,235
Mali,2020-01-06,201
Algeria,2020-01-04,113
Netherlands Antilles,2020-01-23,340
France,2020-01-30,440
Marshall Islands,2020-01-02,115
Greenland,2020-01-02,241
Jordan,2020-01-05,254
Solomon Islands,2020-01-21,280
Venezuela,2020-01-04,393
Greenland,2020-01-30,388
Mali,2020-01-27,309
Ethiopia,2020-01-24,202
Kuwait,2020-01-30,189
Serbia and Montenegro,2020-01-05,340
Antarctica,2020-01-25,219
Guadeloupe,2020-01-24,491
Togo,2020-01-14,146
Turks and Caicos Islands,2020-01-30,165
Algeria,2020-01-25,207
Kuwait,2020-01-17,328
Anguilla,2020-01-28,364
Uruguay,2020-01-19,338
Bermuda,2020-01-27,108
Pitcairn,2020-01-11,212
Poland,2020-01-18,401
"Moldova, Republic of",2020-01-21,240
Belarus,2020-01-10,437
France,2020-01-10,374
United Kingdom,2020-01-02,18
Angola,2020-01-07,254
Sudan,2020-01-04,445
United Arab Emirates,2020-01-10,116
Guernsey,2020-01-27,476
Antigua and Barbuda,2020-01-26,237
Liberia,2020-01-17,482
Jamaica,2020-01-15,171
Argentina,2020-01-28,342
"Micronesia, Federated States of",2020-01-31,59
Saint Pierre and Miquelon,2020-01-03,145
Malta,2020-01-23,406
Saint Lucia,2020-01-21,333
Portugal,2020-01-16,474
Cayman Islands,2020-01-15,461
Thailand,2020-01-31,397
Suriname,2020-01-13,216
Palau,2020-01-24,375
Ethiopia,2020-01-26,216
Bouvet Island,2020-01-05,215
Sudan,2020-01-22,140
Montserrat,2020-01-03,328
Kuwait,2020-01-01,186
Somalia,2020-01-02,31
"Macedonia, The Former Yugoslav Republic of",2020-01-11,275
Portugal,2020-01-06,30
"Palestinian Territory, Occupied",2020-01-08,242
Western Sahara,2020-01-22,184
Guinea-Bissau,2020-01-01,282
Ecuador,2020-01-23,336
Nauru,2020-01-10,376
Philippines,2020-01-26,489
Lithuania,2019-12-31,28
Guyana,2020-01-03,223
Mayotte,2020-01-31,247
Kenya,2020-01-05,110
India,2020-01-13,438
Faroe Islands,2020-01-06,484
Venezuela,2020-01-15,364
Burkina Faso,2020-01-08,10
Gambia,2020-01-19,131
Djibouti,2020-01-25,476
Guinea,2020-01-16,58
Thailand,2020-01-15,294
Jersey,2020-01-15,422
Saint Lucia,2020-01-25,324
Malawi,2020-01-24,184
Swaziland,2020-01-23,428
Cocos (Keeling) Islands,2020-01-14,237
Swaziland,2020-01-16,264
Australia,2020-01-28,374
Albania,2020-01-30,314
Zimbabwe,2020-01-08,335
Antigua and Barbuda,2020-01-06,485
Gabon,2020-01-11,304
Suriname,2020-01-04,77
Gabon,2020-01-06,460
Maldives,2020-01-30,348
Uzbekistan,2020-01-20,53
French Southern Territories,2020-01-25,106
Dominican Republic,2020-01-23,486
Qatar,2020-01-30,124
Bolivia,2020-01-12,499
Cameroon,2020-01-01,27
Saudi Arabia,2020-01-09,222
Guinea-Bissau,2020-01-19,240
Northern Mariana Islands,2020-01-14,97
Singapore,2020-01-20,198
"Korea, Republic of",2020-01-26,107
Switzerland,2020-01-15,494
Portugal,2020-01-22,446
Slovakia,2020-01-06,177
Sudan,2020-01-28,386
Venezuela,2020-01-25,193
Mozambique,2020-01-11,332
Switzerland,2020-01-01,78
Sweden,2020-01-29,445
Turkmenistan,2020-01-12,253
Myanmar,2020-01-11,253
Malawi,2020-01-17,92
Faroe Islands,2020-01-05,362
Antigua and Barbuda,2020-01-16,142
Guatemala,2020-01-15,411
Poland,2020-01-06,239
Mexico,2020-01-23,438
Ireland,2020-01-03,270
Grenada,2020-01-24,381
South Georgia and the South Sandwich Islands,2020-01-26,46
Samoa,2020-01-25,353
Timor-Leste,2020-01-14,84
Heard Island and Mcdonald Islands,2020-01-08,407
Suriname,2020-01-29,369
Belize,2020-01-09,429
Ethiopia,2020-01-15,109
Egypt,2020-01-18,222
France,2020-01-26,267
Oman,2020-01-30,272
Togo,2020-01-24,415
Svalbard and Jan Mayen,2020-01-03,489
Bermuda,2020-01-25,8
Macao,2020-01-06,428
Marshall Islands,2020-01-03,459
Singapore,2020-01-24,306
United States,2020-01-12,92
Maldives,2020-01-27,208
"Moldova, Republic of",2020-01-17,413
Cameroon,2020-01-14,464
Niger,2020-01-19,160
Tonga,2020-01-26,324
Equatorial Guinea,2020-01-17,137
Belarus,2020-01-20,459
Ghana,2020-01-22,44
Mali,2020-01-31,228
Guadeloupe,2020-01-18,265
Guinea-Bissau,2020-01-26,398
Bosnia and Herzegovina,2020-01-19,221
"Iran, Islamic Republic Of",2020-01-02,470
Niger,2020-01-30,276
Costa Rica,2020-01-01,227
Saint Kitts and Nevis,2020-01-04,189
Algeria,2020-01-21,442
Northern Mariana Islands,2019-12-31,423
Morocco,2020-01-29,440
Saint Lucia,2020-01-22,96
"Korea, Democratic People""S Republic of",2020-01-05,359
Palau,2020-01-12,30
Trinidad and Tobago,2020-01-31,345
Viet Nam,2020-01-02,463
Nepal,2020-01-14,288
Guinea,2020-01-04,445
Mongolia,2020-01-21,401
Panama,2020-01-09,339
Malawi,2020-01-19,35
Hong Kong,2019-12-31,33
"Congo, The Democratic Republic of the",2020-01-25,455
Gabon,2020-01-24,362
French Southern Territories,2020-01-20,454
Bermuda,2020-01-25,131
Norway,2020-01-09,113
Croatia,2020-01-09,224
Reunion,2020-01-26,320
Madagascar,2020-01-12,95
France,2020-01-27,199
Faroe Islands,2020-01-28,281
South Africa,2020-01-24,432
Saudi Arabia,2020-01-03,444
Barbados,2020-01-04,354
Niger,2020-01-13,438
El Salvador,2020-01-04,317
Norway,2020-01-09,184
Belarus,2020-01-10,448
Greenland,2020-01-17,250
Greenland,2019-12-31,16
"Taiwan, Province of China",2020-01-23,47
Wallis and Futuna,2020-01-23,432
"Iran, Islamic Republic Of",2020-01-10,66
Solomon Islands,2020-01-01,382
Ireland,2020-01-15,308
Egypt,2020-01-02,353
Luxembourg,2020-01-12,2
"Taiwan, Province of China",2020-01-23,363
Cameroon,2020-01-31,245
Italy,2020-01-23,275
Slovakia,2020-01-01,42
Gibraltar,2020-01-30,58
China,2020-01-15,339
United Kingdom,2020-01-19,290
Dominican Republic,2020-01-22,285
Comoros,2020-01-29,131
"Macedonia, The Former Yugoslav Republic of",2020-01-31,295
Zambia,2020-01-17,155
Jersey,2020-01-04,410
Saint Vincent and the Grenadines,2020-01-25,459
Bahamas,2020-01-21,7
Estonia,2020-01-29,476
Estonia,2020-01-25,434
"Virgin Islands, British",2020-01-22,411
Ireland,2020-01-07,411
Chad,2020-01-18,24
Netherlands,2020-01-30,36
Jersey,2020-01-06,207
Lebanon,2020-01-13,66
"Korea, Democratic People""S Republic of",2020-01-16,308
New Zealand,2020-01-12,48
Portugal,2020-01-05,95
Cambodia,2020-01-23,162
Uganda,2020-01-19,378
"Tanzania, United Republic of",2020-01-01,376
"Micronesia, Federated States of",2020-01-19,54
Uzbekistan,2020-01-13,277
Yemen,2020-01-14,127
Russian Federation,2020-01-08,261
Seychelles,2020-01-21,150
Reunion,2020-01-28,142
San Marino,2020-01-07,499
Latvia,2020-01-28,226
Tokelau,2020-01-29,360
Equatorial Guinea,2020-01-04,222
Sierra Leone,2020-01-30,355
Western Sahara,2020-01-09,148
Malawi,2020-01-03,219
Cyprus,2020-01-05,252
United Arab Emirates,2020-01-16,396
Bhutan,2020-01-31,304
Gambia,2020-01-12,150
Aruba,2020-01-10,173
Botswana,2020-01-19,409
Cocos (Keeling) Islands,2020-01-03,235
Kiribati,2020-01-03,497
Serbia and Montenegro,2020-01-06,467
Bolivia,2020-01-18,169
Kyrgyzstan,2020-01-12,383
Japan,2020-01-22,432
Nauru,2020-01-30,464
Comoros,2020-01-04,323
Jamaica,2020-01-25,378
Uganda,2020-01-17,349
Guernsey,2020-01-23,157
Åland Islands,2020-01-04,416
Central African Republic,2020-01-25,204
Turks and Caicos Islands,2020-01-11,112
Antigua and Barbuda,2020-01-06,34
Netherlands Antilles,2020-01-13,111
Botswana,2020-01-28,42
Barbados,2020-01-08,217
United States Minor Outlying Islands,2020-01-15,154
Guernsey,2020-01-17,228
Sweden,2020-01-20,373
Sudan,2020-01-16,476
Philippines,2020-01-18,82
Indonesia,2020-01-06,250
Australia,2020-01-01,4
Afghanistan,2020-01-01,243
Sudan,2020-01-18,296
Bhutan,2020-01-29,148
Spain,2020-01-16,434
Swaziland,2020-01-11,419
Canada,2020-01-03,207
American Samoa,2020-01-03,27
Slovakia,2020-01-03,341
"Korea, Republic of",2020-01-09,400
Greenland,2020-01-03,106
Mali,2020-01-11,392
Venezuela,2020-01-15,103
Lesotho,2020-01-13,315
Lesotho,2020-01-06,69
Suriname,2020-01-29,300
Guam,2020-01-12,1
Burkina Faso,2020-01-11,333
Israel,2020-01-11,31
Palau,2020-01-29,251
Cameroon,2020-01-13,443
Croatia,2020-01-18,201
Kuwait,2020-01-20,87
Brazil,2020-01-17,344
India,2020-01-10,86
Mozambique,2020-01-13,254
Reunion,2020-01-14,481
Sierra Leone,2020-01-20,78
Lesotho,2020-01-15,219
Malaysia,2020-01-30,245
Monaco,2020-01-17,474
Bolivia,2020-01-22,111
Cuba,2020-01-21,110
United States,2020-01-25,313
Greece,2020-01-09,258
"Lao People""S Democratic Republic",2020-01-06,379
Guadeloupe,2020-01-03,42
Somalia,2020-01-27,151
Gibraltar,2020-01-09,75
"Virgin Islands, U.S.",2020-01-15,129
United Arab Emirates,2020-01-10,495
Philippines,2020-01-11,413
Cuba,2020-01-15,167
"Iran, Islamic Republic Of",2020-01-10,136
Saint Kitts and Nevis,2020-01-02,456
Reunion,2020-01-22,172
"Virgin Islands, U.S.",2020-01-29,340
Colombia,2020-01-01,352
Argentina,2020-01-16,199
Paraguay,2020-01-24,440
Germany,2020-01-10,94
Viet Nam,2020-01-06,17
Venezuela,2020-01-20,325
Sao Tome and Principe,2020-01-20,51
Hong Kong,2020-01-13,252
Slovenia,2020-01-13,382
Estonia,2020-01-13,37
"Korea, Republic of",2020-01-05,331
Finland,2020-01-05,437
Saint Vincent and the Grenadines,2020-01-30,6
Venezuela,2020-01-19,143
United Arab Emirates,2020-01-23,453
Paraguay,2020-01-20,358
Belgium,2020-01-15,395
Holy See (Vatican City State),2020-01-25,266
Albania,2020-01-30,490
Bermuda,2020-01-09,348
"Virgin Islands, U.S.",2020-01-08,240
Tokelau,2020-01-16,229
Dominica,2020-01-24,421
Mongolia,2020-01-24,128
Costa Rica,2020-01-28,143
Finland,2020-01-10,93
Benin,2020-01-14,216
Pakistan,2020-01-15,180
Liberia,2020-01-28,362
Monaco,2020-01-02,192
Guinea-Bissau,2020-01-26,395
Turks and Caicos Islands,2020-01-19,361
Saint Helena,2019-12-31,382
Saint Helena,2020-01-23,112
Djibouti,2020-01-03,401
Afghanistan,2020-01-07,167
Slovakia,2020-01-08,101
Netherlands Antilles,2020-01-31,428
Equatorial Guinea,2020-01-24,91
Netherlands,2020-01-29,481
Congo,2020-01-04,430
Denmark,2020-01-23,369
Vanuatu,2020-01-11,258
Libyan Arab Jamahiriya,2020-01-02,390
British Indian Ocean Territory,2020-01-31,357
Libyan Arab Jamahiriya,2020-01-26,91
Mongolia,2020-01-21,480
Tokelau,2020-01-15,80
Botswana,2020-01-20,178
"Korea, Democratic People""S Republic of",2020-01-31,349
Guinea-Bissau,2020-01-20,34
Saint Helena,2020-01-02,105
"Cote D""Ivoire",2020-01-23,217
Uruguay,2020-01-09,286
Gambia,2020-01-24,410
Seychelles,2020-01-21,472
Bulgaria,2020-01-08,59
Mauritius,2020-01-25,392
French Guiana,2020-01-28,70
Vanuatu,2020-01-31,55
Cyprus,2020-01-07,494
Malaysia,2020-01-21,85
Australia,2020-01-07,64
Puerto Rico,2020-01-22,88
Ethiopia,2020-01-06,325
Somalia,2020-01-02,368
Albania,2020-01-11,139
Zambia,2020-01-03,11
Ghana,2020-01-05,443
Mozambique,2020-01-23,225
Guernsey,2020-01-03,473
Senegal,2020-01-15,334
New Zealand,2020-01-23,416
Barbados,2020-01-19,150
Algeria,2020-01-22,181
Norfolk Island,2020-01-20,453
Portugal,2020-01-03,64
United Arab Emirates,2020-01-04,133
Turkey,2020-01-21,204
Ethiopia,2020-01-11,489
Åland Islands,2020-01-23,34
Tuvalu,2020-01-26,80
Mayotte,2020-01-18,201
Mauritius,2020-01-30,166
Macao,2020-01-26,268
Bosnia and Herzegovina,2020-01-12,272
Bulgaria,2020-01-08,138
Seychelles,2020-01-16,155
United Arab Emirates,2020-01-19,189
Viet Nam,2020-01-19,104
Qatar,2020-01-17,47
Viet Nam,2020-01-24,4
Chile,2020-01-20,11
Mongolia,2020-01-13,447
Chile,2020-01-21,96
Bahrain,2020-01-10,351
Chad,2020-01-05,423
Dominican Republic,2020-01-16,104
Maldives,2020-01-05,266
South Georgia and the South Sandwich Islands,2020-01-04,70
Reunion,2020-01-10,129
Comoros,2020-01-25,341
Niger,2020-01-13,194
Western Sahara,2020-01-27,300
American Samoa,2020-01-21,33
China,2020-01-15,84
Belgium,2020-01-08,430
French Guiana,2020-01-08,237
Saint Lucia,2020-01-14,451
Algeria,2020-01-30,448
Angola,2020-01-07,70
Armenia,2020-01-25,339
Paraguay,2020-01-04,375
Saint Lucia,2019-12-31,171
Poland,2020-01-17,407
Vanuatu,2020-01-24,157
"Moldova, Republic of",2020-01-14,319
Mayotte,2020-01-03,330
"Micronesia, Federated States of",2020-01-29,137
Slovenia,2020-01-05,423
Saint Helena,2020-01-22,250
Reunion,2020-01-26,488
"Virgin Islands, U.S.",2020-01-31,411
Norway,2020-01-21,455
El Salvador,2020-01-07,360
Luxembourg,2020-01-15,170
New Zealand,2020-01-16,208
Eritrea,2020-01-08,264
Faroe Islands,2020-01-20,498
Puerto Rico,2020-01-25,463
Jersey,2020-01-20,357
Norway,2020-01-12,153
Australia,2020-01-04,485
Angola,2020-01-25,194
Gambia,2020-01-27,100
Singapore,2020-01-05,489
Tajikistan,2020-01-03,131
Uganda,2020-01-22,281
Lebanon,2020-01-02,394
Mozambique,2020-01-03,100
Germany,2020-01-13,277
Libyan Arab Jamahiriya,2020-01-11,93
Thailand,2020-01-09,93
Bahamas,2020-01-03,285
Liberia,2020-01-17,497
New Caledonia,2020-01-22,71
Nepal,2020-01-25,80
Myanmar,2020-01-16,230
Greenland,2020-01-11,285
Montserrat,2020-01-27,321
Malaysia,2020-01-15,400
Kuwait,2020-01-25,85
"Palestinian Territory, Occupied",2020-01-15,224
Marshall Islands,2020-01-18,254
Philippines,2020-01-11,247
Cameroon,2020-01-23,287
Cuba,2020-01-16,18
Venezuela,2020-01-17,288
French Guiana,2020-01-18,113
Russian Federation,2020-01-09,450
Liechtenstein,2020-01-19,485
Costa Rica,2020-01-10,133
China,2020-01-21,292
Tokelau,2020-01-27,471
Swaziland,2020-01-15,10
Kiribati,2020-01-08,484
Lebanon,2020-01-09,481
Bouvet Island,2020-01-15,85
Japan,2020-01-22,70
Azerbaijan,2020-01-23,458
Sierra Leone,2020-01-21,283
Saint Helena,2020-01-16,175
Russian Federation,2020-01-10,368
Ethiopia,2020-01-25,430
Senegal,2020-01-09,373
Malawi,2020-01-10,402
Antarctica,2020-01-03,43
Kenya,2020-01-25,73
Zimbabwe,2020-01-11,302
Bermuda,2020-01-17,309
Pitcairn,2020-01-25,142
Libyan Arab Jamahiriya,2020-01-16,451
Paraguay,2020-01-10,122
Reunion,2020-01-13,282
Anguilla,2020-01-28,169
Armenia,2020-01-23,329
Myanmar,2020-01-26,207
Niger,2020-01-09,426
French Polynesia,2020-01-08,354
Tajikistan,2020-01-12,348
Poland,2020-01-17,195
Guinea-Bissau,2020-01-03,344
Togo,2020-01-16,45
Barbados,2020-01-08,309
Heard Island and Mcdonald Islands,2020-01-09,64
Liberia,2020-01-25,335
Paraguay,2020-01-29,83
British Indian Ocean Territory,2020-01-07,202
Wallis and Futuna,2020-01-06,350
Samoa,2020-01-24,219
Kiribati,2020-01-24,243
Iraq,2020-01-04,332
Gabon,2020-01-18,465
Malawi,2020-01-21,167
Israel,2020-01-19,71
Antigua and Barbuda,2020-01-18,477
Oman,2020-01-03,356
San Marino,2020-01-28,104
Sudan,2020-01-15,449
RWANDA,2020-01-11,455
Saint Pierre and Miquelon,2020-01-27,424
Sierra Leone,2020-01-12,286
Myanmar,2020-01-29,41
Ethiopia,2020-01-20,28
Venezuela,2020-01-14,241
Pitcairn,2020-01-30,400
Malawi,2020-01-20,465
Saint Pierre and Miquelon,2020-01-22,444
Russian Federation,2020-01-08,194
Bermuda,2020-01-11,398
Tokelau,2020-01-21,113
Ireland,2020-01-29,308
Panama,2020-01-01,175
Costa Rica,2020-01-03,442
Sudan,2020-01-25,207
Jersey,2020-01-19,380
"Virgin Islands, U.S.",2020-01-06,57
Comoros,2020-01-12,138
Nicaragua,2020-01-16,193
Dominica,2020-01-24,472
Saudi Arabia,2020-01-26,447
Bahamas,2020-01-16,223
Iraq,2020-01-23,188
Saint Vincent and the Grenadines,2020-01-07,354
Ghana,2020-01-26,10
Tunisia,2020-01-09,86
Holy See (Vatican City State),2020-01-20,59
Turks and Caicos Islands,2020-01-30,112
Guernsey,2020-01-21,458
"Virgin Islands, British",2020-01-08,124
Solomon Islands,2020-01-08,48
Cuba,2020-01-15,201
Suriname,2020-01-25,159
Cook Islands,2020-01-03,124
Malawi,2020-01-26,71
Bouvet Island,2020-01-29,182
"Cote D""Ivoire",2020-01-15,187
Hungary,2020-01-09,371
Liberia,2020-01-21,220
Albania,2020-01-08,351
Antigua and Barbuda,2020-01-20,196
"Palestinian Territory, Occupied",2020-01-05,362
Bahamas,2020-01-04,270
Netherlands Antilles,2020-01-20,43
Nicaragua,2020-01-05,293
Kiribati,2020-01-03,60
Colombia,2020-01-09,424
Guinea-Bissau,2020-01-09,59
Greece,2020-01-27,439
Chile,2020-01-21,261
American Samoa,2020-01-14,441
Algeria,2020-01-27,262
Yemen,2020-01-20,33
Senegal,2020-01-10,329
Iceland,2020-01-22,499
Netherlands Antilles,2020-01-17,314
Saint Lucia,2020-01-22,423
Italy,2020-01-30,449
Cook Islands,2020-01-12,176
Svalbard and Jan Mayen,2020-01-21,281
Ghana,2020-01-19,199
Svalbard and Jan Mayen,2020-01-13,290
Maldives,2020-01-11,292
"Korea, Democratic People""S Republic of",2020-01-05,21
Palau,2020-01-12,308
Montserrat,2020-01-03,166
Barbados,2020-01-11,379
Turkey,2020-01-28,391
Yemen,2020-01-18,163
Yemen,2020-01-18,54
French Southern Territories,2020-01-19,47
RWANDA,2020-01-06,10
Cocos (Keeling) Islands,2020-01-17,408
Philippines,2020-01-21,381
Panama,2020-01-23,9
Belize,2020-01-15,343
Hungary,2020-01-11,244
Benin,2020-01-28,414
Falkland Islands (Malvinas),2020-01-27,398
Tunisia,2020-01-14,431
Costa Rica,2020-01-03,284
Reunion,2020-01-21,334
Mozambique,2020-01-02,231
Falkland Islands (Malvinas),2020-01-25,399
Guernsey,2020-01-27,475
Egypt,2020-01-29,60
Tuvalu,2020-01-27,259
Cape Verde,2020-01-31,366
Aruba,2020-01-08,158
Norfolk Island,2020-01-14,480
Bahamas,2020-01-15,320
Montserrat,2020-01-29,116
Sierra Leone,2020-01-30,150
Pakistan,2020-01-09,400
Libyan Arab Jamahiriya,2020-01-10,241
Colombia,2020-01-08,388
Gambia,2020-01-06,449
French Guiana,2020-01-30,383
Hungary,2020-01-17,210
"Palestinian Territory, Occupied",2020-01-05,105
Christmas Island,2020-01-24,471
Togo,2020-01-22,32
Mauritius,2020-01-08,134
Hong Kong,2020-01-14,36
Greece,2020-01-23,257
Marshall Islands,2020-01-25,27
Trinidad and Tobago,2020-01-29,218
Kiribati,2020-01-27,181
"Iran, Islamic Republic Of",2020-01-20,4
Bhutan,2020-01-22,293
Heard Island and Mcdonald Islands,2020-01-25,151
"Virgin Islands, U.S.",2020-01-09,276
Jordan,2020-01-19,204
Suriname,2020-01-24,386
Cuba,2020-01-16,381
Zambia,2020-01-14,480
Turkmenistan,2020-01-03,269
Gambia,2020-01-24,104
Thailand,2020-01-28,109
Hungary,2020-01-02,226
Pakistan,2020-01-10,301
Brazil,2020-01-31,236
Guadeloupe,2020-01-22,446
Lesotho,2020-01-16,195
Antarctica,2020-01-12,394
French Polynesia,2020-01-24,297
Morocco,2020-01-02,298
Hungary,2020-01-16,490
Venezuela,2020-01-16,455
India,2020-01-25,374
Algeria,2020-01-13,482
Armenia,2020-01-13,319
Nepal,2020-01-12,200
New Zealand,2020-01-23,145
Isle of Man,2020-01-13,156
Montserrat,2020-01-05,373
Saint Pierre and Miquelon,2020-01-01,102
Timor-Leste,2020-01-04,125
Azerbaijan,2020-01-15,486
Cook Islands,2020-01-22,389
Thailand,2020-01-15,185
