Song,Date,Number of Plays
Moroni,2020-04-08,995
Salzburg,2020-04-21,941
Bangkok,2020-02-26,505
Honiara,2020-04-01,898
Durango,2020-03-13,951
Lyon,2020-01-24,1685
Fredericton,2020-05-25,486
Nanjing,2020-03-29,1093
Toronto,2020-05-10,1575
Palembang,2020-02-09,508
Ciudad del Este,2020-04-01,1531
Algiers,2020-04-17,879
Sydney,2020-04-15,506
Chuí,2020-05-19,1786
Guadalajara,2020-03-07,708
Amsterdam,2020-02-07,973
Guadalajara,2020-05-06,900
Phuket (city),2020-04-16,492
Yakutsk,2020-04-08,1543
Jerusalem,2020-04-15,379
Dammam,2020-01-11,497
Nagpur,2020-04-02,840
Port Hedland,2020-01-29,1488
Stepanakert,2020-05-03,1390
Memphis,2020-03-07,434
Willemstad,2020-01-26,993
Vientiane,2020-02-06,988
Shigatse,2020-01-14,1228
Zamboanga City,2020-01-11,1899
Kathmandu,2020-04-17,1832
Mumbai,2020-03-12,1800
Montevideo,2020-03-20,996
Campinas,2020-05-26,1328
Mashhad,2020-03-13,785
Frankfurt,2020-04-11,296
Ciudad del Este,2020-01-01,1987
Honolulu,2020-05-16,1131
Milwaukee,2020-02-27,577
Malabo,2020-02-20,102
Calgary,2020-01-20,1204
Townsville,2020-02-14,959
Dallas,2020-04-03,1494
Hargeisa,2020-02-01,1447
Campinas,2020-04-05,1332
Johor Bahru,2020-04-24,1561
Dakar,2020-02-27,1827
Makassar,2020-04-15,143
Suez,2020-03-24,805
Yaoundé,2020-02-25,1694
Batticaloa,2020-04-26,1322
Caracas,2020-03-12,1432
Xi'an,2020-05-07,505
Hangzhou,2020-02-20,1579
Hat Yai,2020-01-13,1449
Lima,2020-02-18,706
Fortaleza,2020-05-15,1807
Ulan Bator,2020-03-10,1123
Fukuoka,2020-01-22,467
Bamako,2020-04-25,453
Abu Dhabi,2020-04-14,916
Zanzibar City,2020-04-24,1693
Shenzhen,2020-03-19,1103
Bandung,2020-05-25,1469
Gothenburg,2020-03-01,293
Kuala Lumpur,2020-05-02,1669
Santa Cruz de Tenerife,2020-02-15,1772
Brussels,2020-05-18,653
Gothenburg,2020-05-06,781
Tabriz,2020-01-10,236
Nouméa,2020-05-02,1562
Changchun,2020-01-05,237
Pelotas,2020-05-06,1956
Nanjing,2020-02-06,1105
Manila,2020-01-17,813
Horta (Azores),2020-03-17,654
Moroni,2020-03-30,1533
Albuquerque,2020-05-07,1121
Tokyo,2020-03-09,1316
Gaza,2020-04-15,231
Santiago,2020-05-19,534
Juneau,2020-03-18,1797
Willemstad,2020-04-05,1244
Lubumbashi,2020-03-25,1099
Cockburn Town,2020-05-20,793
Kobe,2020-04-18,1863
Lusaka,2020-04-06,348
Stepanakert,2020-03-05,1745
Honiara,2020-04-02,1790
Amman,2020-05-12,299
Da Nang,2020-05-09,1788
Peshawar,2020-03-16,1892
Yakutsk,2020-02-16,1028
Kota Bharu,2020-04-29,1717
Nanning,2020-05-03,206
Puerto Williams,2020-05-07,360
The Hague,2020-02-15,1215
Saint Petersburg,2020-05-26,271
Sydney,2020-02-07,1108
Abuja,2020-02-24,720
Vitória,2020-02-23,504
Tiraspol,2020-02-21,1038
Anchorage,2020-04-02,175
Marseille,2020-03-04,1507
Banda Aceh,2020-01-30,1016
Berlin,2020-04-22,1813
Surat,2020-01-24,209
Baghdad,2020-05-19,636
Bogotá,2020-04-22,929
Madrid,2020-04-13,1047
Ashgabat,2020-01-27,601
Douala,2020-04-03,792
Guatemala City,2020-01-06,753
Nicosia,2020-05-26,1845
New Delhi,2020-04-23,389
Samara,2020-03-06,808
Nouméa,2020-05-05,664
Mendoza,2020-02-24,1467
Batticaloa,2020-03-27,313
La Paz,2020-04-18,230
Dublin,2020-05-04,857
Nouakchott,2020-02-15,1160
Dakar,2020-01-24,1722
Helsinki,2020-02-02,1242
Porto,2020-02-13,296
Linz,2020-05-06,1832
Las Vegas,2020-04-26,465
Malmö,2020-04-07,1522
Assis,2020-02-14,1004
Oklahoma City,2020-04-27,647
Longyearbyen,2020-01-01,255
Bogor,2020-01-12,1978
Santiago,2020-05-24,1896
São Paulo,2020-04-08,950
Mwanza,2020-01-05,100
Alexandria,2020-05-27,1851
Amritsar,2020-01-25,495
Nakhon Ratchasima,2020-05-11,1389
Brussels,2020-02-09,1481
Tagbilaran,2020-02-27,1060
Kandy,2020-01-19,852
Nuuk,2020-04-24,1244
Calgary,2020-01-16,1578
Belfast,2020-05-17,677
Detroit,2020-05-27,1769
Brisbane,2020-05-17,415
Yellowknife,2020-05-14,1868
Cleveland,2020-04-29,951
Vladivostok,2020-04-02,505
Odessa,2020-05-10,664
Nassau,2020-04-01,170
Beijing,2020-01-10,806
San Antonio,2020-02-18,1734
Road Town,2020-01-18,195
Tallinn,2020-04-25,1201
Linz,2020-01-13,1306
Wichita,2020-04-03,150
Dalian,2020-01-01,1263
Douala,2020-05-05,1113
Gaziantep,2020-02-12,410
Berlin,2020-01-06,346
Houston,2020-03-22,671
Porto,2020-01-19,1995
Tskhinvali,2020-05-26,256
Bangkok,2020-04-06,789
Pelotas,2020-05-07,407
Lahore,2020-04-26,1414
Chengdu,2020-03-25,485
San Diego,2020-02-23,924
Douala,2020-05-20,1937
Stanley,2020-01-29,576
Macau,2020-01-18,1436
Sofia,2020-04-02,288
Taipei,2020-03-29,876
Malacca Town,2020-04-16,1265
Madrid,2020-04-20,177
Timbuktu,2020-04-12,1832
Managua,2020-01-13,268
Dushanbe,2020-04-05,681
Ürümqi,2020-04-15,312
Bulawayo,2020-03-05,753
Las Palmas de Gran Canaria,2020-01-07,466
Auckland,2020-02-15,1971
Managua,2020-02-23,1022
Faisalabad,2020-01-14,158
Providence,2020-01-14,1434
Minneapolis,2020-03-12,1251
Puebla,2020-05-01,424
Shanghai,2020-04-13,510
Panama City,2020-05-12,1359
Mogadishu,2020-02-08,512
Stockholm,2020-05-26,766
Jaipur,2020-01-30,384
Castries,2020-03-02,1656
Roseau,2020-03-21,1605
Port Blair,2020-01-21,160
Bamako,2020-04-08,1897
Cotonou,2020-02-28,759
Chengdu,2020-05-11,1526
Leeds,2020-02-18,235
Chengdu,2020-05-27,1266
Casablanca,2020-05-11,1745
Adak,2020-05-26,222
Porto Velho,2020-04-12,1798
Adana,2020-05-09,1528
Bridgetown,2020-03-19,1838
Perth,2020-03-02,540
Tokyo,2020-01-14,915
Kanpur,2020-05-30,212
Hilo,2020-01-31,495
Shenzhen,2020-02-05,1486
Anchorage,2020-03-09,1457
Udon Thani,2020-03-14,1628
Rabat,2020-02-18,1355
Lyon,2020-01-28,241
Road Town,2020-03-23,522
Lima,2020-05-03,705
Odessa,2020-01-15,1676
Phnom Penh,2020-04-04,1204
Las Palmas de Gran Canaria,2020-05-20,983
Stepanakert,2020-03-24,1362
Vatican City,2020-03-27,1502
Ibiza,2020-01-05,583
Thiès,2020-01-10,205
Jamestown,2020-05-09,1042
Malé,2020-04-01,277
Accra,2020-04-01,1112
Saint John,2020-04-09,1317
Tokyo,2020-04-27,1292
Luanda,2020-02-05,1592
Kota Kinabalu,2020-05-20,1491
Timbuktu,2020-04-13,233
Wonsan,2020-04-02,604
Athens,2020-02-29,325
Nukuʻalofa,2020-01-25,1195
Montreal,2020-04-20,944
Rome,2020-03-21,949
Kansas City,2020-02-10,415
Cairns,2020-02-19,811
Yekaterinburg,2020-04-15,1274
Cairo,2020-05-12,107
Seattle,2020-01-18,711
Zanzibar City,2020-03-03,1232
Ho Chi Minh City,2020-03-28,1301
Adak,2020-03-18,1428
Calgary,2020-02-03,165
Longyearbyen,2020-05-09,703
Kandahar,2020-02-13,1103
Seattle,2020-04-13,1366
Townsville,2020-03-02,1496
Koror,2020-01-13,1382
Bujumbura,2020-01-17,1006
The Hague,2020-04-03,1941
Hong Kong,2020-04-17,1936
Shenzhen,2020-01-20,421
Ljubljana,2020-02-18,1424
Chiang Mai,2020-03-31,1080
Birmingham,2020-03-16,557
Stepanakert,2020-05-19,1020
İzmir,2020-02-04,1306
Moroni,2020-04-11,556
Melekeok,2020-03-01,467
Moroni,2020-01-17,1369
Kuching,2020-02-21,186
São Paulo,2020-05-01,992
Turin,2020-01-13,839
Fortaleza,2020-04-15,277
Astana,2020-03-11,1715
Oslo,2020-03-31,1539
Shenyang,2020-03-14,1669
Kuwait City,2020-01-26,848
Padang,2020-05-14,801
Cairo,2020-02-27,1757
Montevideo,2020-02-29,497
Sitka,2020-01-01,119
Apia,2020-04-11,728
Brasília,2020-05-30,1453
Hanoi,2020-05-12,1194
Kingstown,2020-04-22,1826
Cuiabá,2020-01-24,681
Avarua,2020-02-26,1132
Split (city),2020-03-12,943
Timbuktu,2020-04-07,1648
New York City,2020-04-28,1355
Porto Velho,2020-03-05,873
Taichung,2020-02-25,707
Sukhumi,2020-03-20,1440
Banda Aceh,2020-03-15,1729
Riga,2020-05-11,1741
Macau,2020-01-17,1876
Santo Domingo,2020-04-21,1561
Abu Dhabi,2020-03-27,1328
Nice,2020-03-10,1664
Hobart,2020-01-16,1126
Louisville,2020-01-01,1143
New Orleans,2020-02-10,269
Podgorica,2020-01-19,1097
Sukhumi,2020-01-14,896
Santiago de Cuba,2020-05-22,1164
Valencia,2020-02-24,1433
Alor Star,2020-04-22,1133
Sacramento,2020-04-21,1523
Kraków,2020-04-26,1038
Concepción,2020-04-19,1893
Kingstown,2020-02-03,1163
Simferopol,2020-05-26,668
Suez,2020-03-07,1439
Ndola,2020-02-02,1449
Buffalo,2020-03-18,686
Pyongyang,2020-04-11,1577
Dibrugarh,2020-01-17,591
Ciudad del Este,2020-02-17,1330
Berlin,2020-03-04,521
Konya,2020-01-15,1761
Sacramento,2020-04-18,187
Rosario,2020-03-01,1802
Pune,2020-01-18,358
Surabaya,2020-04-29,918
Minneapolis,2020-02-25,1328
Hilo,2020-05-02,1029
Guayaquil,2020-04-06,1300
Birkirkara,2020-01-07,1851
Tucson,2020-05-03,743
Fredericton,2020-01-13,1735
Nantes,2020-05-22,1221
Boa Vista,2020-03-18,1757
Willemstad,2020-04-09,1815
Yaren District,2020-03-14,1677
Kingston,2020-04-12,1613
Honolulu,2020-01-30,595
Dunedin,2020-03-04,797
Kinshasa,2020-02-10,1084
Minneapolis,2020-01-01,1860
Surat Thani,2020-03-02,1860
Ankara,2020-03-19,903
Zagreb,2020-05-03,1056
Ho Chi Minh City,2020-03-14,477
Kansas City,2020-05-25,1812
Hilo,2020-05-06,501
Berlin,2020-02-26,1497
Auckland,2020-04-12,1947
Thiès,2020-01-06,707
Mashhad,2020-05-09,993
Phuket (city),2020-04-17,447
Timbuktu,2020-02-07,1117
Lomé,2020-04-13,425
Luxor,2020-03-09,1175
Hagåtña,2020-03-30,1657
Palma,2020-03-10,1140
Brazzaville,2020-05-19,1088
Kabul,2020-03-24,1723
Nassau,2020-05-03,1544
Namangan,2020-05-26,379
Cayenne,2020-05-01,1209
Rosario,2020-05-10,1772
Tartu,2020-02-20,1574
London,2020-02-05,220
Aarhus,2020-02-04,272
Naples,2020-03-10,914
Ibiza,2020-02-29,1595
Omsk,2020-01-09,840
Medellín,2020-03-24,1122
Mogadishu,2020-04-07,1957
Chişinău,2020-03-05,972
Padang,2020-01-28,318
Charlotte,2020-05-01,1473
Sarajevo,2020-01-19,1613
Malmö,2020-03-03,1368
Rio Branco,2020-02-22,336
Koulikoro,2020-01-09,464
Maracaibo,2020-03-03,1906
Beijing,2020-03-08,806
Kyoto,2020-02-02,417
Monaco,2020-05-09,386
Birkirkara,2020-02-19,1720
Turin,2020-02-20,1619
Jacksonville,2020-01-05,1672
Yokohama,2020-03-06,579
Palma,2020-03-27,1652
Cusco,2020-03-01,1644
Dededo,2020-04-12,372
Islamabad,2020-01-23,438
Brazzaville,2020-05-05,653
Avarua,2020-04-12,281
Edmonton,2020-01-28,639
Santiago de Cuba,2020-03-24,991
Medan,2020-03-26,1488
Incheon,2020-04-16,1045
Petropavlovsk-Kamchatsky,2020-02-06,895
Andorra la Vella,2020-01-11,511
Nice,2020-03-16,1662
Conakry,2020-03-01,1572
Cartagena,2020-02-05,1190
Chişinău,2020-04-07,1764
Cape Town,2020-04-09,1705
N'Djamena,2020-03-15,1048
Djibouti (city),2020-02-27,1578
Gangtok,2020-02-11,1038
Stockholm,2020-04-15,428
Manama,2020-03-13,883
Lhasa,2020-04-18,967
Wichita,2020-05-16,1424
Padang,2020-03-07,726
Zhengzhou,2020-03-25,467
Damascus,2020-04-12,1091
Ludhiana,2020-01-13,324
Leipzig,2020-05-20,761
Brisbane,2020-01-26,1556
Saskatoon,2020-02-14,1579
Chihuahua,2020-05-31,1551
Willemstad,2020-05-30,471
San Salvador,2020-02-08,756
Kingstown,2020-05-31,678
Maceió,2020-02-06,1735
Hyderabad,2020-05-04,1308
Nouméa,2020-01-03,908
Johor Bahru,2020-04-25,1946
Labasa,2020-03-31,1275
Lhasa,2020-05-13,337
Austin,2020-04-20,376
Srinagar,2020-03-09,1722
Strasbourg,2020-05-01,1939
Mersin,2020-05-05,674
Port-au-Prince,2020-04-10,1887
Dongguan,2020-02-15,1076
Zanzibar City,2020-02-27,1894
Tucson,2020-01-22,1470
Macapá,2020-05-22,1716
Yerevan,2020-04-13,955
Nukus,2020-04-10,1713
Jerusalem,2020-02-28,1190
Milan,2020-05-28,1906
Shijiazhuang,2020-02-19,1367
Medan,2020-01-03,654
Yogyakarta (city),2020-05-20,508
Aberdeen,2020-03-27,372
Tabriz,2020-03-27,1472
Francistown,2020-01-27,1691
Petropavlovsk-Kamchatsky,2020-01-16,318
Qingdao,2020-05-06,1074
Valletta,2020-01-15,1046
Saskatoon,2020-03-26,496
Invercargill,2020-05-20,1150
Rabat,2020-01-12,705
Nicosia,2020-01-01,1916
Paris,2020-04-02,977
Tijuana,2020-02-20,1655
Tirana,2020-05-03,1752
Skopje,2020-05-13,1166
Taichung,2020-03-06,1386
San Francisco,2020-02-06,1036
Malabo,2020-01-14,1381
San Diego,2020-04-29,104
Johor Bahru,2020-01-23,871
Geneva,2020-04-18,1550
Nashville,2020-01-29,260
Port Moresby,2020-03-05,1702
Medina,2020-03-09,163
Geneva,2020-05-10,321
Malacca Town,2020-05-17,332
Phuket (city),2020-01-07,346
Paris,2020-03-22,446
Minneapolis,2020-01-09,754
Ambon,2020-04-23,1407
Surat,2020-03-05,1180
Shenzhen,2020-01-14,1502
Sacramento,2020-04-07,1981
El Paso,2020-04-28,1682
Fortaleza,2020-04-07,1989
Ilhéus,2020-03-26,1334
Petropavlovsk-Kamchatsky,2020-03-05,238
Birmingham,2020-04-27,1379
Tashkent,2020-02-10,593
Bergen,2020-05-07,1109
Ho Chi Minh City,2020-05-05,1332
Sri Jayawardenapura-Kotte,2020-03-07,451
Split (city),2020-02-17,1870
Calgary,2020-03-13,686
Yellowknife,2020-04-09,1994
Honiara,2020-04-11,1950
Durban,2020-05-18,604
Omdurman,2020-03-28,1519
Douglas,2020-01-08,1868
Valparaíso,2020-03-10,957
Alexandria,2020-01-13,552
Ciudad del Este,2020-05-02,207
Johannesburg,2020-01-24,1616
Milan,2020-01-20,1655
Vitória,2020-05-15,1497
Kandy,2020-05-02,1498
Nakhon Ratchasima,2020-03-05,1599
Alor Star,2020-05-25,1819
Tegucigalpa,2020-02-22,905
San Antonio,2020-04-02,1952
Kigali,2020-02-02,1296
Algiers,2020-02-14,1707
Maceió,2020-01-25,904
Kolkata,2020-04-29,688
Dakar,2020-03-16,271
San Fernando,2020-02-22,1506
Bujumbura,2020-04-15,1822
Turin,2020-03-25,1001
Kandahar,2020-05-27,778
Belize City,2020-05-20,1532
La Paz,2020-01-09,1594
Banjul,2020-05-26,1441
Philadelphia,2020-02-20,1227
Bangkok,2020-05-14,943
Dibrugarh,2020-05-05,1295
Angra do Heroísmo,2020-04-25,1047
Washington,2020-05-01,1524
Yogyakarta (city),2020-02-01,1730
Banjul,2020-02-25,1576
Perth,2020-03-09,1449
Yamoussoukro,2020-02-27,1397
Port Elizabeth,2020-05-16,1681
Helsinki,2020-05-31,113
Dalian,2020-04-11,1177
Kyoto,2020-04-11,492
Anchorage,2020-02-15,1173
Jamestown,2020-01-24,1791
El Aaiún,2020-04-26,265
Konya,2020-05-10,184
Mecca,2020-04-24,1616
Vatican City,2020-03-01,1917
Algiers,2020-02-25,1097
Stockholm,2020-03-08,1866
Chuí,2020-02-18,1027
Kabul,2020-02-01,1070
Hiroshima,2020-03-27,577
Fredericton,2020-02-03,698
Bandar Seri Begawan,2020-04-07,502
St. Louis,2020-04-16,792
Horta (Azores),2020-03-02,1755
Nizhny Novgorod,2020-05-10,700
Denpasar,2020-02-27,947
Tabriz,2020-01-11,906
Assis,2020-05-12,1658
Kuala Lumpur,2020-05-03,652
Bogotá,2020-03-28,865
Thimphu,2020-03-04,195
Qingdao,2020-03-22,331
Hong Kong,2020-04-01,1867
Rio de Janeiro,2020-02-13,295
Yaren District,2020-03-14,858
Vladivostok,2020-05-26,1085
Assis,2020-04-03,329
Bangalore,2020-01-26,1622
San Diego,2020-05-07,605
Jersey City,2020-04-10,615
Pontianak,2020-02-02,527
Bujumbura,2020-03-24,1272
Port Said,2020-03-19,1312
Amsterdam,2020-04-05,920
Assis,2020-01-11,1971
Islamabad,2020-04-19,1598
Hamburg,2020-03-25,843
Stockholm,2020-01-19,684
Djibouti (city),2020-01-15,530
Havana,2020-05-24,602
Ibiza,2020-04-18,1937
Zagreb,2020-02-03,979
Minsk,2019-12-31,1188
Anchorage,2020-03-05,121
Bogor,2020-04-01,1550
Guadalajara,2020-05-14,869
Greenwich,2020-04-11,924
Jacksonville,2020-05-31,1893
Hanga Roa,2020-02-14,674
Praia,2020-02-23,845
Tegucigalpa,2020-01-02,1685
La Paz,2020-03-01,1466
San Carlos de Bariloche,2020-03-18,463
Banjul,2020-01-10,946
Suez,2020-01-29,1592
Aarhus,2020-05-01,1276
Beirut,2020-02-05,246
Singapore,2020-05-26,946
Auckland,2020-04-07,1426
Johannesburg,2020-03-02,1162
St. Louis,2020-01-07,272
Moroni,2020-05-17,259
Shenyang,2020-01-20,1114
Hong Kong,2020-01-31,1661
Malmö,2020-03-11,1648
Riyadh,2020-04-13,466
San Juan,2020-05-16,235
Boston,2020-04-11,939
Tartu,2020-04-29,1742
Alor Star,2020-02-01,1116
Peshawar,2020-01-24,1538
Colombo,2020-03-13,1962
Munich,2020-05-17,121
Blantyre,2020-04-24,661
Edinburgh,2020-05-20,859
Hanover,2020-05-30,1099
Lobamba,2020-05-07,120
Mbabane,2020-05-25,1876
Cincinnati,2020-01-21,388
Aberdeen,2020-05-09,361
Tripoli,2020-03-16,1388
Chişinău,2020-05-28,1680
Blantyre,2020-01-21,298
Strasbourg,2020-05-24,1318
Iquique,2020-02-05,1473
Mendoza,2020-02-13,1440
Guatemala City,2020-01-17,1566
Zanzibar City,2020-05-15,1833
Handan,2020-02-11,1994
Taiyuan,2020-04-18,1138
Saint-Pierre,2020-01-16,1311
Wonsan,2020-04-19,807
Anadyr (town),2020-04-18,1586
Graz,2020-01-14,1465
Stanley,2020-04-05,1578
Ashgabat,2020-02-20,703
Vilnius,2020-05-24,1405
Ibadan,2020-04-12,935
Rosario,2020-04-08,1173
Montreal,2020-03-02,1617
Hyderabad,2020-05-02,1743
Yerevan,2020-05-11,818
Dammam,2020-03-16,1798
Seoul,2020-04-22,1673
Bogotá,2020-03-08,244
Fredericton,2020-01-28,1855
Amritsar,2020-03-19,1364
Luxor,2020-04-21,1520
Edmonton,2020-04-13,1828
Manama,2020-01-22,1922
Lagos,2020-01-01,945
Ilhéus,2020-02-28,1308
Handan,2020-01-17,553
Moscow,2020-04-12,498
Okinawa,2020-04-29,1057
Alofi,2020-05-06,590
St. George's,2020-03-09,1492
Accra,2020-04-12,1866
Astana,2020-04-30,1882
Mogadishu,2020-01-24,333
Kuala Lumpur,2020-05-04,974
Santa Cruz de la Sierra,2020-01-04,1966
Fairbanks,2020-05-09,1363
Nukus,2020-04-18,773
Newcastle,2020-03-28,936
Multan,2020-03-20,751
Cairo,2020-01-02,413
Jamestown,2020-05-10,1196
Seville,2020-02-05,707
Vatican City,2020-05-26,797
Ciudad del Este,2020-03-19,1145
Patna,2020-05-12,1371
Houston,2020-04-01,904
Djibouti (city),2020-03-17,1501
Atlanta,2020-05-31,1295
Kaesong,2020-01-26,875
Hanga Roa,2020-03-27,1351
Sucre,2020-05-10,575
Pontianak,2020-02-10,1374
Maseru,2020-01-20,581
Faisalabad,2020-03-22,1455
Bergen,2020-03-29,511
Glasgow,2020-01-24,273
Hiroshima,2020-01-13,1638
Portland,2020-05-06,1112
Iquique,2020-04-13,1308
Stockholm,2020-01-23,1069
Fukuoka,2020-02-11,1497
Sabha,2020-01-29,595
Gangtok,2020-03-06,1958
Bratislava,2020-02-07,587
Pontianak,2020-02-07,1831
Townsville,2020-03-20,1401
Chihuahua,2020-05-07,381
Zhengzhou,2020-01-15,1016
Jakarta,2020-02-17,986
Ankara,2020-01-29,1203
Sri Jayawardenapura-Kotte,2020-05-09,1529
Ahmedabad,2020-04-29,1241
Dublin,2020-03-14,2000
Puerto Williams,2020-03-18,1796
Nukuʻalofa,2020-01-16,151
Phuket (city),2020-02-19,456
Ponta Delgada,2020-05-12,211
Tampa,2020-05-11,1877
Lanzhou,2020-04-24,1256
Seville,2020-04-29,364
Bilbao,2020-02-07,1160
Manchester,2020-04-11,930
Invercargill,2020-03-03,790
Dibrugarh,2020-01-07,1275
Port Moresby,2020-01-19,1689
Chuí,2020-02-06,1080
Sydney,2020-04-26,1699
Kansas City,2020-01-19,1056
Tskhinvali,2020-03-09,1543
Ciudad del Este,2020-04-05,1280
Majuro,2020-04-07,1752
Basra,2020-02-20,881
Graz,2020-03-05,1783
Darwin,2020-03-18,1394
Ndola,2020-04-06,1227
Beijing,2020-02-28,1519
Malé,2020-05-25,1431
Quebec City,2020-01-03,1558
Christchurch,2020-01-23,587
Banda Aceh,2020-01-26,1567
Port of Spain,2020-05-09,611
Jersey City,2020-04-23,530
Frankfurt,2020-04-29,1831
Nanning,2020-01-07,294
Brasília,2020-03-11,479
Konya,2020-04-02,1161
N'Djamena,2020-02-06,759
Toronto,2020-01-09,898
Novosibirsk,2020-01-27,915
Seville,2020-05-17,1251
Marrakech,2020-01-18,1991
Port Blair,2020-02-12,735
Rio de Janeiro,2020-02-18,1632
Dalian,2020-03-07,1263
Cairns,2020-03-04,328
Quetzaltenango,2020-03-22,1799
Zhengzhou,2020-05-10,845
Jayapura,2020-02-12,324
Surabaya,2020-02-14,1581
Porto Alegre,2020-02-11,1567
Adelaide,2020-02-02,1618
Surat Thani,2020-04-01,1012
Vladivostok,2020-04-18,108
Houston,2020-04-11,563
Canberra,2020-04-23,559
Shenzhen,2020-01-09,418
Kaohsiung,2020-01-17,1148
Norilsk,2020-02-21,521
Birmingham,2020-04-24,1743
Cuiabá,2020-05-16,727
Simferopol,2020-03-28,421
Chihuahua,2020-02-25,1506
Tucson,2020-04-07,1156
Paramaribo,2020-03-11,288
Nukus,2020-01-11,1314
Espoo,2020-03-31,1438
Porto Velho,2020-04-26,1700
Shijiazhuang,2020-05-09,682
Lviv,2020-02-27,1609
Tabriz,2020-05-01,687
Iquitos,2020-05-11,767
Kandy,2020-05-18,227
Recife,2020-02-18,894
Dalian,2020-03-21,631
Nagoya,2020-02-05,113
Managua,2020-05-22,1480
Faisalabad,2020-01-14,1711
Monterrey,2020-02-26,564
Koulikoro,2020-04-30,466
Raleigh,2020-05-21,347
Hong Kong,2020-01-21,214
Tampere,2020-01-07,1060
Ponta Delgada,2020-01-26,1471
Konya,2020-02-10,306
Ho Chi Minh City,2020-05-17,1189
Pretoria,2020-03-08,1979
Timbuktu,2020-01-20,1875
Raleigh,2020-01-25,732
Puebla,2020-04-29,1832
Thessaloniki,2020-04-06,1429
Monaco,2020-03-04,1969
Kota Kinabalu,2020-03-29,679
Toulouse,2020-04-05,1970
Kabul,2020-02-12,344
Providence,2020-03-12,420
Tucson,2020-04-25,661
Ilhéus,2020-01-02,1057
Cebu City,2020-04-29,1151
Karachi,2020-04-06,1330
Namangan,2020-04-23,168
Riga,2020-05-27,1329
Charlottetown,2020-04-13,761
Ljubljana,2020-03-24,471
Oslo,2020-02-08,1334
Bangkok,2020-05-20,279
Salt Lake City,2020-01-18,1419
Ciudad del Este,2020-03-28,272
Saint-Denis,2020-02-26,1710
Omsk,2020-02-16,1861
Santo Domingo,2020-03-21,1392
Charlottetown,2020-04-01,1770
Multan,2020-05-22,1919
Lilongwe,2020-04-24,1574
Gaziantep,2020-01-07,1891
Tirana,2020-01-25,975
Pekanbaru,2020-03-09,1858
Rio Branco,2020-01-02,470
Hanoi,2020-01-03,180
Punta Arenas,2020-01-09,1508
Melekeok,2020-05-18,1388
Bogor,2020-01-24,864
Cairo,2020-04-13,573
Pontianak,2020-05-17,1621
Louisville,2020-02-05,1703
Palikir,2020-05-23,1889
Tampere,2020-04-20,1388
Maseru,2020-02-13,154
Yaren District,2020-01-08,134
Mwanza,2020-03-28,1690
City of Halifax,2020-05-18,1947
Jerusalem,2020-02-24,303
Jamestown,2020-04-02,272
Petropavlovsk-Kamchatsky,2020-01-15,711
Dar es Salaam,2020-04-13,1521
Brikama,2020-03-18,543
Taiyuan,2020-02-09,1871
Dili,2020-05-17,443
Porto-Novo,2020-03-28,1938
Willemstad,2020-01-29,1898
Regina,2020-05-28,1430
Moroni,2020-01-08,1683
Lucknow,2020-05-03,515
Saint-Denis,2020-01-13,1367
Medina,2020-05-22,1225
Melekeok,2020-02-10,1306
La Serena,2020-03-02,1951
Hamburg,2020-05-08,398
Namangan,2020-04-17,1607
Asmara,2020-03-28,439
Hargeisa,2020-03-11,482
The Hague,2020-03-25,1460
Udon Thani,2020-01-15,1964
Peshawar,2020-03-22,342
Tamale,2020-04-01,282
Chuí,2020-01-18,710
Manchester,2020-03-21,684
Chişinău,2020-01-23,1306
Guwahati,2020-02-04,1379
Nukuʻalofa,2020-01-22,1729
Auckland,2020-01-28,1212
Vaduz,2020-01-08,1613
Koulikoro,2020-02-12,981
Caracas,2020-03-28,1094
Dresden,2020-02-15,938
Rosario,2020-03-03,1815
Koror,2020-01-29,1953
Surat,2020-03-28,1963
Indianapolis,2020-05-29,1183
Jakarta,2020-05-03,768
Fortaleza,2020-02-14,281
Petropavlovsk-Kamchatsky,2020-01-05,380
Perm,2020-04-19,745
Málaga,2020-01-03,214
Jersey City,2020-01-08,140
Taipei,2020-03-29,1900
Curitiba,2020-04-22,457
Port-au-Prince,2020-02-17,1923
George Town,2020-01-10,1955
Suez,2020-04-28,1080
Melbourne,2020-05-07,1526
Harbin,2020-05-27,1777
Columbus,2020-01-28,488
Bergen,2020-04-06,437
Casablanca,2020-01-26,1800
Lagos,2020-01-17,498
Sucre,2020-05-30,587
Honolulu,2020-03-02,413
Mendoza,2020-03-17,542
Sabha,2020-02-24,516
Iquitos,2020-01-17,129
Townsville,2020-03-15,559
Port Elizabeth,2020-04-08,1340
Cali,2020-04-18,1862
Los Angeles,2020-05-23,1766
Lahore,2020-04-20,520
Manila,2020-02-07,974
Hai Phong,2020-01-16,812
Saint John,2020-01-24,1831
Wonsan,2020-03-23,1857
Maseru,2020-01-29,1220
Malmö,2020-05-09,358
Sarajevo,2020-02-28,1437
Francistown,2020-04-17,1414
Majuro,2020-04-12,196
Beirut,2020-03-14,1845
Lima,2020-04-13,822
Nukulaelae,2020-01-02,1127
Valdivia,2020-05-28,307
Samara,2020-03-20,926
Kinshasa,2020-05-07,1913
Charlottetown,2020-04-26,1014
Pontianak,2020-05-15,318
Lisbon,2020-03-12,1991
Kandahar,2020-01-29,323
Omsk,2020-01-16,1135
Stepanakert,2020-04-12,1358
Hai Phong,2020-05-22,109
Jamestown,2020-02-25,1174
